AF3,F7,F3,F5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,EventId
0.472594052,0.29456461,0.24770529,0.228770599,0.344053835,0.374730216,0.473643454,0.348934216,0.374102375,0.315946688,0.709254712,0.393549876,0.3752946,0.3765019,left
0.472385296,0.303306572,0.248208282,0.229282819,0.367567776,0.389848407,0.479875071,0.353336248,0.382479826,0.314044978,0.714257136,0.395075305,0.373644389,0.377391758,left
0.474686388,0.297034913,0.2491303,0.228770599,0.390810484,0.386339029,0.470527151,0.353568329,0.389899202,0.318663712,0.715757901,0.382653599,0.376944811,0.395638933,left
0.482427079,0.298745958,0.248836902,0.230364269,0.385945779,0.360421249,0.457802823,0.362372394,0.399473561,0.344742904,0.723761854,0.398126162,0.394861002,0.409212234,left
0.494351646,0.315469177,0.248417875,0.233209984,0.388108442,0.358531346,0.465333972,0.368860506,0.398276652,0.352892943,0.728664443,0.429941066,0.40429001,0.422785535,left
0.487447572,0.311478186,0.247579502,0.231417214,0.389729667,0.366630781,0.469747828,0.35936064,0.385352224,0.324639924,0.717058615,0.420571048,0.395803724,0.429684054,left
0.470292959,0.287723326,0.247286104,0.228599895,0.346486702,0.356371531,0.468449286,0.367469786,0.390857276,0.315675089,0.71045521,0.394203038,0.386373819,0.413662372,left
0.472594052,0.287532969,0.24833391,0.229567434,0.322972761,0.350972251,0.486107677,0.393882865,0.412159153,0.340668402,0.720460247,0.407713624,0.39038173,0.399421253,left
0.476987481,0.302356233,0.24628028,0.230108159,0.346486702,0.360151336,0.501688204,0.394114945,0.414791806,0.347459929,0.726563334,0.426236216,0.399339377,0.405873995,left
0.483054939,0.304066554,0.246741289,0.229709741,0.363513169,0.368790082,0.501168985,0.384846719,0.405457193,0.340396286,0.724762492,0.417737635,0.402639799,0.420115961,left
0.492050554,0.307297563,0.252231896,0.23144561,0.3727032,0.383909301,0.505323726,0.394810305,0.405217447,0.348003127,0.723461778,0.427979919,0.403818649,0.429461166,left
0.492468862,0.311288553,0.253279702,0.233010775,0.391621611,0.395518114,0.511036124,0.394114945,0.40402145,0.353980373,0.72456225,0.446066792,0.40429001,0.426791591,left
0.489749461,0.30482726,0.24992669,0.232840071,0.384053835,0.383099049,0.499091119,0.383688962,0.407132683,0.346373533,0.731465731,0.4364785,0.402404567,0.419448144,left
0.489539909,0.305587242,0.249297911,0.232327851,0.362703071,0.379049846,0.496754139,0.3971267,0.422211182,0.350720151,0.737868894,0.442361942,0.413012425,0.421450748,left
0.496652739,0.308247902,0.250471505,0.232356248,0.371892073,0.387959533,0.510516905,0.419601465,0.435615102,0.375441348,0.737769059,0.476791985,0.431399977,0.441477639,left
0.501882785,0.300076288,0.250764903,0.232327851,0.36945972,0.376349692,0.50610206,0.4107974,0.432742703,0.379516885,0.73706869,0.483329419,0.432814956,0.451045731,left
0.499372936,0.30349693,0.251477488,0.232100138,0.359189387,0.366901208,0.491300856,0.386237438,0.413594897,0.358054875,0.737969111,0.45914083,0.428335684,0.438362288,left
0.5,0.32060014,0.252231896,0.232384753,0.377027496,0.380939748,0.494936378,0.386700717,0.404978612,0.350720151,0.739269634,0.45020653,0.433757678,0.430573912,left
0.498117215,0.324781487,0.251309878,0.232242445,0.381351793,0.389848407,0.504544403,0.401297975,0.415510133,0.357783794,0.738769315,0.455218536,0.43682197,0.431908699,left
0.495397815,0.310718205,0.249507504,0.230762686,0.355135295,0.379319244,0.5014281,0.392493028,0.412159153,0.349904837,0.73266642,0.441707949,0.429514535,0.42790349,left
0.494979507,0.30121626,0.248208282,0.229453631,0.351351407,0.380399923,0.497792577,0.376969211,0.409526501,0.346373533,0.726463308,0.421659929,0.425035262,0.415887864,left
