,AF3,F7,F3,F5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4
0,4119.4873046875,4120.1284179688,4114.2309570313,4089.4870605469,4081.1538085938,4110.7690429688,4086.0256347656,4112.5639648438,4109.8715820313,4101.41015625,4111.1538085938,4123.9741210938,4119.7436523438,4134.3588867188
1,4114.1025390625,4122.5639648438,4118.9741210938,4089.4870605469,4090.2563476563,4108.0771484375,4080.3845214844,4123.7177734375,4125.384765625,4112.1796875,4128.0771484375,4140.384765625,4125.5126953125,4132.1796875
2,4109.615234375,4124.1025390625,4116.2822265625,4100.2563476563,4084.6154785156,4105.7690429688,4081.6667480469,4126.5385742188,4126.6665039063,4120.5126953125,4134.1025390625,4135.8974609375,4128.7177734375,4130.0
3,4105.384765625,4112.5639648438,4097.8203125,4093.4614257813,4075.3845214844,4108.3334960938,4091.1538085938,4126.0258789063,4127.5639648438,4118.9741210938,4124.3588867188,4127.1796875,4124.8715820313,4129.1025390625
4,4102.8203125,4105.6411132813,4080.6411132813,4077.6923828125,4086.0256347656,4108.0771484375,4086.5385742188,4126.2822265625,4125.6411132813,4109.2309570313,4112.1796875,4119.1025390625,4113.3334960938,4127.1796875
5,4105.7690429688,4118.7177734375,4097.4360351563,4098.3334960938,4096.41015625,4102.9487304688,4069.4870605469,4115.6411132813,4107.6923828125,4096.0258789063,4107.0512695313,4121.5385742188,4104.2309570313,4119.3588867188
6,4101.2822265625,4127.5639648438,4125.7690429688,4126.794921875,4091.2819824219,4104.1025390625,4062.0512695313,4099.615234375,4087.5642089844,4081.794921875,4093.205078125,4120.0,4095.7692871094,4109.1025390625
7,4093.0769042969,4124.615234375,4119.7436523438,4121.6665039063,4092.3076171875,4105.384765625,4054.6154785156,4091.2819824219,4074.1025390625,4068.3332519531,4067.4357910156,4102.4360351563,4080.6411132813,4099.7436523438
8,4106.6665039063,4140.5126953125,4116.0258789063,4127.9487304688,4099.4873046875,4097.3076171875,4041.794921875,4087.4357910156,4068.4614257813,4068.3332519531,4063.205078125,4108.3334960938,4079.7436523438,4105.6411132813
9,4130.6411132813,4164.2309570313,4142.9487304688,4158.0771484375,4096.1538085938,4090.0,4042.4357910156,4092.0512695313,4080.1281738281,4077.6923828125,4078.58984375,4142.5639648438,4095.8974609375,4125.5126953125
